CCDRReportID,Program Name,Task Name,Report Name,Report As Of Date,ContractorName,PrimeSub,Reporting Level,WBS Code,Element Name,WBS Element Concatenation,To Date / At Completion,Recurring / Non-Recurring,Functional Category,Functional Element,Unit Of Measure,Value,Report Format
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Direct Manufacturing Labor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Manufacturing Operations,Manufacturing Operations Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Materials,Raw Material Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Raw Material Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Raw Material Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Materials,Raw Material Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Raw Material Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Raw Material Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Materials,Purchased Parts Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Purchased Parts Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Purchased Parts Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Materials,Purchased Parts Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Purchased Parts Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Purchased Parts Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Materials,Purchased Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Purchased Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Purchased Equipment Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Materials,Purchased Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Purchased Equipment Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Purchased Equipment Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Materials,Material Handling Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Material Handling Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Material Handling Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Materials,Material Handling Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Material Handling Overhead Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Material Handling Overhead Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Materials,Total Direct-Reporting Subcontractor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Total Direct-Reporting Subcontractor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Materials,Total Direct-Reporting Subcontractor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Materials,Total Direct-Reporting Subcontractor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Total Direct-Reporting Subcontractor Dollars,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Materials,Total Direct-Reporting Subcontractor Dollars,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Nonrecurring,Other Costs,Other Costs Not Shown Elsewhere,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Other Costs,Other Costs Not Shown Elsewhere,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,At Completion,Recurring,Other Costs,Other Costs Not Shown Elsewhere,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Nonrecurring,Other Costs,Other Costs Not Shown Elsewhere,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Other Costs,Other Costs Not Shown Elsewhere,TY $K,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,1,1.0,Cerberus Vehicle,1.0 Cerberus Vehicle,To Date,Recurring,Other Costs,Other Costs Not Shown Elsewhere,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,2,1.1,Cerberus Vehicle Manufacturing,1.1 Cerberus Vehicle Manufacturing,At Completion,Nonrecurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,2,1.1,Cerberus Vehicle Manufacturing,1.1 Cerberus Vehicle Manufacturing,At Completion,Recurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,2,1.1,Cerberus Vehicle Manufacturing,1.1 Cerberus Vehicle Manufacturing,At Completion,Recurring,Engineering,Direct Engineering Labor Hours,Quantity,1,1921-1 (2007/2011)
12345,Demo Program,Option 1,Option 1 Initial Report,2019-08-05,ABC Contractor,Prime,2,1.1,Cerberus Vehicle Manufacturing,1.1 Cerberus Vehicle Manufacturing,To Date,Nonrecurring,Engineering,Direct Engineering Labor Hours,Hours,1,1921-1 (2007/2011)
